Question,Answer
신한FAN(앱카드) 홍채인증 기능은 언제 이용이 가능한가요?,온라인 및 모바일 결제 등 신한FAN(앱카드)의 결제비밀번호를 이용한 모든 기능에서 이용이 가능합니다.
현재 어떤 스마트폰에서 홍채인증 기능을 이용할 수 있나요?,"삼성전자의 갤럭시S8, S8+ 등의 스마트폰에서 이용이 가능하며, 향후 삼성전자에서 출시하는 홍채인증 지원 스마트폰에서 지원 가능합니다."
"홍채인증 기능은 타인명의 휴대폰 가입자(터치온, 후불교통카드 인증)에서도 이용이 가능한가요?",홍채인증 기능은 본인명의 및 타인명의 휴대폰을 이용하여 신한FAN(앱카드)에 정상적으로 가입한 고객 모두 이용이 가능합니다.
신한FAN(앱카드)에 홍채를 등록을 하였으나 결제비밀번호를 이용하여 인증하고 싶습니다.,"홍채인증화면의 취소버튼이나, 휴대폰의 취소(back) 버튼을 누르는 경우 결제비밀번호 전환이 가능합니다. 또한 지문/홍채인증 설정에서 홍채인증 기능을 OFF로 선택하는 경우 홍채인증 기능을 사용하지 않습니다. (지문/홍채인증이 모두 등록되어 있는 경우, 홍채인증을 OFF로 변경하면 FAN인증방식이 지문인증으로 변경됩니다.)"
"스마트폰에 홍채인식 기능이 탑재되어 있으나, 신한FAN(앱카드)에서 홍채인증 설정 메뉴를 찾을 수 없습니다.",신한FAN(앱카드)는 삼성전자의 삼성패스 지원 스마트폰에 한해 홍채인증 기능을 제공하고 있습니다. 삼성패스 미지원 기기에서는 홍채인증 기능을 이용할 수 없습니다.
"홍채인증 등록을 완료하였는데, FAN인증 시 지문인증 방식으로 인증됩니다.",FAN설정 → 지문/홍채인증 설정 메뉴를 확인해주세요. 홍채인증 설정의 좌측 체크박스가 선택된 경우 FAN 인증수단으로 홍채인증을 이용하실 수 있습니다. 
FAN 홍채인증 등록 중에 ‘삼성패스(홍채인증)’ 설정이 필요합니다. 라는 안내 팝업이 표기되었습니다.,FAN 홍채인증 삼성전자의 삼성패스를 기반으로 동작합니다. 스마트폰에 삼성패스가       등록되지 않은 경우 삼성패스 등록메뉴로 이동하여 삼성패스 및 홍채를 등록 후 이용이 가능합니다. 해당 화면에서 확인 버튼을 누르시면 삼성패스 등록 화면으로 이동합니다.
신한FAN(앱카드) 홍채인증 등록 후 ‘FAN인증수단을 선택해주세요’라는 팝업이 표시됩니다.,"지문과 홍채가 모두 등록된 경우 FAN 인증수단을 선택하는 안내 팝업이 표시됩니다. 선택하신 인증수단이 FAN의 인증방식으로 이용되며, 지문/홍채인증 설정 메뉴에서 왼쪽 체크박스를 선택하시어 인증방식의 변경이 가능합니다. 지문/홍채인증을 모두 OFF로 설정하시면 결제비밀번호로 인증방식이 변경됩니다."
홍채인증을 등록하였는데 지문/홍채인증 설정에서 홍채인증이 OFF로 변경되었습니다.,"스마스폰의 삼성패스 설정, 홍채기능 OFF 또는 홍채를 재등록 한 경우, FAN의 홍채인증 기능이 OFF로 변경됩니다. FAN 홍채인증을 ON으로 설정하시면 삼성패스 및 홍채를 재등록 가능하며 이후 이용 가능합니다. "
"FAN인증방식으로 홍채인증 이용 중이며, 지문인증으로 변경하고 싶습니다. ",FAN설정 → 지문/홍채인증 설정에서 지문인증 설정의 왼쪽 체크박스를 선택하시면 지문인증으로 변경 가능합니다. 지문인증이 OFF인 경우 먼저 지문인증 ON을 선택하시어 등록 후 변경 가능합니다. 
"스마트폰에 지문인식 기능이 탑재되어 있으나, 신한 FAN(앱카드)에서 지문인증 설정 메뉴를 찾을 수 없습니다","신한 FAN(앱카드)는 생체인증 국제표준규격(FIDO인증, 파이도인증)을 지원하는 스마트폰에 한해 지문인증 기능을 제공하고 있습니다. 일부 해외출시 단말 및 규격 미지원 기기에서는 지문인증 기능을 이용할 수 없습니다."
신한 FAN(앱카드)에 지문을 등록을 하였으나 결제비밀번호를 이용하여 인증하고 싶습니다,"지문인증 요청화면의 닫기 버튼이나, 휴대폰의 취소 버튼을 누르는 경우 결제비밀번호 전환이 가능합니다. 또한 지문인증 설정에서 지문인증 기능을 OFF로 선택하는 경우 지문인증 기능을 사용하지 않습니다.  "
"지문인증 기능은 타인명의 휴대폰 가입자(터치온, 후불교통카드 인증)에서도 이용이 가능한가요? ",지문인증 기능은 본인명의 및 타인명의 휴대폰을 이용하여 신한 FAN(앱카드)에 정상적으로 가입한 고객 모두 이용이 가능합니다.  
현재 어떤 스마트폰에서 지문인증 기능을 이용할 수 있나요? ,"삼성전자의 갤럭시S6, 엣지, 엣지플러스, 노트5, 갤럭시S7, S7 엣지, 엘지전자 V10, G5, 애플 아이폰6, 6+, 6S, 6S+ 등의 스마트폰에서 이용이 가능합니다."
신한 FAN(앱카드) 지문인증 기능은 언제 이용이 가능한가요? ,온라인 및 모바일 결제 등 신한 FAN(앱카드)의 결제비밀번호를 이용한 모든 기능에서 이용이 가능합니다.  
타인명의의 폰으로 가입한 경우(터치온으로 인증하여 가입) 폰OTP인증/후불교통카드(터치온) 인증 이용이 가능한가요? ,폰OTP 인증/후불교통카드(터치온) 인증은 본인명의 휴대폰으로 가입한 경우에만 이용이 가능합니다. 
폰OTP인증/후불교통카드(터치온) 인증 메뉴 진입 시 '지원되지 않는 기기입니다'라는 메시지가 나옵니다. ,고객님의 스마트폰에서 지원가능한 폰OTP인증/후불교통카드(터치온) 인증 수단이 없는 경우입니다. 다른 인증수단을 이용하여 거래를 진행해 주시기 바랍니다. 
‘후불교통카드(터치온) 인증 시 후불교통카드를 정상적으로 인식할 수 없습니다’라는 안내메시지가 나옵니다,"기능이 지원되는 스마트폰에서 후불교통카드를 인식할 수 없는 경우는 스마트폰 자체의 기능 오류로 인해 발생할 수 있습니다. 해당 단말기 제조사의 서비스센터를 통해 기능 점검을 받으시고, 점검을 통해 NFC기능의 정상적 구동을 확인하신 후 후불교통카드(터치온) 인증을 진행해 주시길 바랍니다.  "
후불교통카드(터치온) 인증 시 타인카드로 3회 이상 인증오류가 발생하였습니다. 어떻게 해야 하나요?,타인 카드로 3회 이상 인증오류 발생 시 후불교통카드(터치온) 인증 기능 이용이 중단됩니다. 공인인증서 인증 또는 휴대폰확인 및 카드인증 기능을 이용하여 이용을 해제하시면 정상적인 이용이 가능합니다.
후불교통카드(터치온) 인증 선택 시 ‘NFC 기능 설정안내’라는 메시지가 나옵니다. 어떻게 조치해야하나요? ,후불교통카드를 인식하기 위해서는 스마트폰의 NFC 기능이 활성화 되어 있어야 합니다. 확인 버튼을 눌러 NFC 설정모드로 이동 후 읽기쓰기 및 P2P 모드 선택하면 후불교통카드 터치로 인증이 가능합니다.
폰OTP 인증/후불교통카드(터치온) 인증은 모든 스마트폰에서 이용 가능한가요? ,폰OTP 인증/후불교통카드(터치온) 인증은 안드로이드 기반 스마트폰에서만 이용이 가능합니다.  
폰OTP 인증을 선택한 경우 인증 프로그램을 설치합니다. 인증 프로그램은 무엇인가요? ,폰OTP 인증은 스마트폰의 보안영역에 인증 프로그램 설치 후 이 프로그램이 생성하는 일회용 비밀번호로 유효성을 검증하는 인증방식으로 최초 1회 인증 프로그램의 설치가 필요합니다.
